"comppct_l","comppct_r","comppct_h","compname","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","drainagecl","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","mukey","cokey"
,1,,"Una","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, active, acid, thermic Typic Epiaquepts","Inceptisols","Aquepts","Epiaquepts","Typic Epiaquepts","fine","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175986"
,7,,"Luverne","Series","Yes","AFFR30-42",,8.00,10.00,12.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175987"
,5,,"Bibb","Series","Yes",,,0.00,1.00,1.00,,,,,5,,"3",,,,,"Yes","Poorly drained",15.00,76.00,137.00,,,,,,,,15.00,19.00,22.00,1016,1270,1524,,,,200,220,240,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents","Entisols","Aquents","Fluvaquents","Typic Fluvaquents","coarse-loamy","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175988"
,12,,"Vaiden","Series","Yes",,,0.00,1.00,1.00,,,,,5,,"4",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Very-fine, smectitic, thermic Aquic Dystruderts","Vertisols","Uderts","Dystruderts","Aquic Dystruderts","very-fine","not used","not used","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175989"
,6,,"Luverne","Series","Yes","AFFR30-42",,12.00,24.00,35.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175990"
,6,,"Vaiden","Series","Yes",,,1.00,3.00,5.00,,,,,5,,"4",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Very-fine, smectitic, thermic Aquic Dystruderts","Vertisols","Uderts","Dystruderts","Aquic Dystruderts","very-fine","not used","not used","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175991"
,15,,"Luverne","Series","Yes","AFFR30-42",,2.00,4.00,5.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175992"
,12,,"Wilcox","Series","Yes",,,2.00,4.00,5.00,,,,,4,,,,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Very-fine, smectitic, thermic Chromic Dystruderts","Vertisols","Uderts","Dystruderts","Chromic Dystruderts","very-fine","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175993"
,9,,"Eutaw","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Very-fine, smectitic, thermic Chromic Dystraquerts","Vertisols","Aquerts","Dystraquerts","Chromic Dystraquerts","very-fine","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175994"
,3,,"Mayhew","Series","Yes",,,0.00,1.00,2.00,,,,,5,,,,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, smectitic, thermic Chromic Dystraquerts","Vertisols","Aquerts","Dystraquerts","Chromic Dystraquerts","fine","not used","not used","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657815","14175995"
,3,,"Malbis","Series","Yes",,,5.00,7.00,8.00,,,,,5,,"3",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Plinthic Paleudults","Ultisols","Udults","Paleudults","Plinthic Paleudults","fine-loamy","not used","subactive","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14175996"
,19,,"Lucedale","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14175997"
,15,,"Bama","Series","Yes","AFFR>30",,2.00,4.00,5.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14175998"
,15,,"Bama","Series","Yes","AFFR>30",,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14175999"
,12,,"Malbis","Series","Yes",,,2.00,4.00,5.00,,,,,5,,"3",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Plinthic Paleudults","Ultisols","Udults","Paleudults","Plinthic Paleudults","fine-loamy","not used","subactive","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176000"
,2,,"Luverne","Series","Yes","AFFR30-42",,5.00,10.00,15.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176001"
,4,,"Izagora","Series","Yes",,,0.00,1.00,1.00,,,,,5,,"3",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine-loamy, siliceous, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176002"
,4,,"Smithdale","Series","Yes","AFFR30-42",,5.00,10.00,15.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176003"
,6,,"Bibb","Series","Yes",,,0.00,1.00,1.00,,,,,5,,"3",,,,,"Yes","Poorly drained",15.00,76.00,137.00,,,,,,,,15.00,19.00,22.00,1016,1270,1524,,,,200,220,240,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents","Entisols","Aquents","Fluvaquents","Typic Fluvaquents","coarse-loamy","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176004"
,10,,"Malbis","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Plinthic Paleudults","Ultisols","Udults","Paleudults","Plinthic Paleudults","fine-loamy","not used","subactive","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176005"
,2,,"Smithdale","Series","Yes","AFFR30-42",,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176006"
,2,,"Luverne","Series","Yes","AFFR30-42",,2.00,4.00,5.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176007"
,6,,"Troup","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"2",,,,,"No","Somewhat excessively drained",,,,,,,,,,,,,,,,,,,,,,,"3","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","Moderate","Low","Loamy, kaolinitic, thermic Grossarenic Kandiudults","Ultisols","Udults","Kandiudults","Grossarenic Kandiudults","loamy","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657816","14176008"
,3,,"Una","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, active, acid, thermic Typic Epiaquepts","Inceptisols","Aquepts","Epiaquepts","Typic Epiaquepts","fine","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176009"
,11,,"Mantachie","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine-loamy, siliceous, active, acid, thermic Fluventic Endoaquepts","Inceptisols","Aquepts","Endoaquepts","Fluventic Endoaquepts","fine-loamy","not used","active","acid","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176010"
,6,,"Lenoir","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, semiactive, thermic Aeric Paleaquults","Ultisols","Aquults","Paleaquults","Aeric Paleaquults","fine","not used","semiactive","not used","thermic","Aeric","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176011"
,3,,"Craven","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, subactive, thermic Aquic Hapludults","Ultisols","Udults","Hapludults","Aquic Hapludults","fine","not used","subactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176012"
,2,,"Luverne","Series","Yes","AFFR30-42",,5.00,10.00,15.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176013"
,3,,"Una","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"7","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, active, acid, thermic Typic Epiaquepts","Inceptisols","Aquepts","Epiaquepts","Typic Epiaquepts","fine","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176014"
,6,,"Chrysler","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"6",,,,,"No","Moderately well drained",15.00,31.00,46.00,,,,,,,,17.00,18.00,19.00,1422,1524,1626,,,,220,230,240,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176015"
,8,,"Canton Bend","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine, mixed, semiactive, thermic Ultic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Ultic Hapludalfs","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176016"
,5,,"Chrysler","Series","Yes",,,1.00,2.00,3.00,,,,,5,,"6",,,,,"No","Moderately well drained",15.00,31.00,46.00,,,,,,,,17.00,18.00,19.00,1422,1524,1626,,,,220,230,240,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176017"
,7,,"Yonges","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"3",,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"6","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine-loamy, mixed, active, thermic Typic Endoaqualfs","Alfisols","Aqualfs","Endoaqualfs","Typic Endoaqualfs","fine-loamy","not used","active","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176018"
,1,,"Luverne","Series","Yes","AFFR30-42",,15.00,25.00,35.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176019"
,6,,"Bigbee","Series","Yes",,,1.00,2.00,3.00,,,,,5,,,,,,,"No","Excessively drained",,,,,,,,,,,,,,,,,,,,,,,"3","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","Moderate","Low","Thermic, coated Typic Quartzipsamments","Entisols","Psamments","Quartzipsamments","Typic Quartzipsamments","not used","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176020"
,4,,"Cahaba","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176021"
,25,,"Urbo","Series","Yes",,,0.00,1.00,1.00,,,,,5,,,,,,,"Yes","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, active, acid, thermic Vertic Epiaquepts","Inceptisols","Aquepts","Epiaquepts","Vertic Epiaquepts","fine","not used","active","acid","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176022"
,10,,"Izagora","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine-loamy, siliceous, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657817","14176023"
,10,,"Luverne","Series","Yes","AFFR25-30",,10.00,18.00,25.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176024"
,8,,"Pine Flat","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Coarse-loamy, siliceous, subactive, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","coarse-loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176025"
,20,,"Lucedale","Series","Yes",,,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176026"
,5,,"Bama","Series","Yes","AFFR<30",,2.00,4.00,5.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176027"
,9,,"Faceville","Series","Yes",,,2.00,4.00,5.00,,,,,5,,"5",,,,,"No","Well drained",61.00,99.00,137.00,,,,,,,,16.00,19.00,21.00,1143,1207,1270,,,,230,248,265,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine, kaolinitic, thermic Typic Kandiudults","Ultisols","Udults","Kandiudults","Typic Kandiudults","fine","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176028"
,9,,"Jones","Series","Yes",,,4.00,17.00,30.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Coarse-loamy, siliceous, active, thermic Ultic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Ultic Hapludalfs","coarse-loamy","not used","active","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176029"
,9,,"Blanton","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"2",,,,,"No","Moderately well drained",15.00,46.00,76.00,,,,,,,,18.00,20.00,21.00,1270,1397,1524,,,,230,270,310,"3","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","High","High","Loamy, siliceous, semiactive, thermic Grossarenic Paleudults","Ultisols","Udults","Paleudults","Grossarenic Paleudults","loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176030"
,20,,"Lucedale","Series","Yes",,,0.00,1.00,2.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, subactive, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176031"
,10,,"Bama","Series","Yes","AFFR<30",,0.00,1.00,2.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657818","14176032"
,7,,"Luverne","Series","Yes","AFFR25-30",,10.00,20.00,30.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176033"
,20,,"Blanton","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"2",,,,,"No","Moderately well drained",15.00,46.00,76.00,,,,,,,,18.00,20.00,21.00,1270,1397,1524,,,,230,270,310,"3","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","High","High","Loamy, siliceous, semiactive, thermic Grossarenic Paleudults","Ultisols","Udults","Paleudults","Grossarenic Paleudults","loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176034"
,8,,"Alaga","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"2",,,,,"No","Somewhat excessively drained",15.00,61.00,107.00,,,,,,,,17.00,19.00,20.00,1270,1448,1626,,,,220,235,250,"3","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","Moderate","Low","Thermic, coated Typic Quartzipsamments","Entisols","Psamments","Quartzipsamments","Typic Quartzipsamments","not used","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176035"
,7,,"Lucy","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"2",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","High","Low","Loamy, kaolinitic, thermic Arenic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Kandiudults","loamy","not used","not used","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176036"
,51,,"Troup","Series","Yes",,,2.00,5.00,8.00,,,,,5,,"2",,,,,"No","Somewhat excessively drained",,,,,,,,,,,,,,,,,,,,,,,"4","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A","Moderate","Low","Loamy, kaolinitic, thermic Grossarenic Kandiudults","Ultisols","Udults","Kandiudults","Grossarenic Kandiudults","loamy","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176037"
,7,,"Pine Flat","Series","Yes",,,0.00,3.00,5.00,,,,,5,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Coarse-loamy, siliceous, subactive, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","coarse-loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657819","14176038"
,1,,"Colbert","Series","Yes",,,6.00,9.00,12.00,,,,,3,,"6",,,,,"No","Moderately well drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657820","14176039"
