"comppct_l","comppct_r","comppct_h","compname","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","drainagecl","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","mukey","cokey"
,18,,"Dickson","Series","Yes",,,6.00,8.00,10.00,,,,,3,,,,,,,"No","Moderately well drained",244.00,305.00,366.00,,,,,,,,14.00,15.00,16.00,1194,1296,1397,,,,180,193,205,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Glossic Fragiudults","Ultisols","Udults","Fragiudults","Glossic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175236"
,5,,"Taft","Series","Yes",,,0.00,1.00,2.00,,,,,3,,,,,,,"No","Somewhat poorly drained",213.00,244.00,274.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,195,210,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine-silty, siliceous, semiactive, thermic Glossaquic Fragiudults","Ultisols","Udults","Fragiudults","Glossaquic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175237"
,10,,"Bodine","Series","Yes","NORTH",,10.00,23.00,35.00,,,,,5,,,,,,,"No","Somewhat excessively drained",213.00,305.00,396.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,190,200,"7","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Loamy-skeletal, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","loamy-skeletal","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175238"
,5,,"Fullerton","Series","Yes",,,2.00,4.00,6.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175239"
,3,,"Bewleyville","Series","Yes",,,2.00,4.00,6.00,,,,,5,,,,,,,"No","Well drained",244.00,305.00,366.00,,,,,,,,14.00,15.00,16.00,1194,1296,1397,,,,180,193,205,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-silty","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175240"
,3,,"Chenneby","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-silty, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-silty","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657753","14175241"
,25,,"Fullerton","Series","Yes","NORTH",,20.00,30.00,40.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175242"
,1,,"Smithdale","Series","Yes","AFFR25-30",,5.00,8.00,10.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","subactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175243"
,3,,"Pruitton","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"6",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, semiactive, thermic Fluventic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluventic Dystrudepts","fine-loamy","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175244"
,4,,"Lobelville","Series","Yes",,,0.00,1.00,2.00,,,,,5,,,,,,,"No","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-loamy, siliceous, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-loamy","not used","active","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175245"
,2,,"Mimosa","Series","Yes","SEV ER,NORTH",,12.00,21.00,30.00,,,,,3,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine, mixed, semiactive, thermic Typic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Typic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175246"
,1,,"Mimosa","Series","Yes","NORTH",,12.00,21.00,30.00,,,,,3,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine, mixed, semiactive, thermic Typic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Typic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175247"
,41,,"Bodine","Series","Yes","NORTH",,10.00,23.00,35.00,,,,,5,,,,,,,"No","Somewhat excessively drained",213.00,305.00,396.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,190,200,"7","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Loamy-skeletal, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","loamy-skeletal","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175248"
,3,,"Dickson","Series","Yes",,,2.00,4.00,6.00,,,,,3,,,,,,,"No","Moderately well drained",244.00,305.00,366.00,,,,,,,,14.00,15.00,16.00,1194,1296,1397,,,,180,193,205,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Glossic Fragiudults","Ultisols","Udults","Fragiudults","Glossic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175249"
,2,,"Dickson","Series","Yes",,,6.00,8.00,10.00,,,,,3,,,,,,,"No","Moderately well drained",244.00,305.00,366.00,,,,,,,,14.00,15.00,16.00,1194,1296,1397,,,,180,193,205,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Glossic Fragiudults","Ultisols","Udults","Fragiudults","Glossic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175250"
,15,,"Fullerton","Series","Yes",,,6.00,8.00,10.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175251"
,3,,"Bewleyville","Series","Yes",,,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",244.00,305.00,366.00,,,,,,,,14.00,15.00,16.00,1194,1296,1397,,,,180,193,205,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-silty","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657754","14175252"
,12,,"Sunlight","Series","Yes",,,12.00,24.00,35.00,,,,,1,"0","8",,,,,"No","Well drained",122.00,183.00,244.00,,,,,,,,14.00,16.00,17.00,1219,1321,1422,,,,190,200,210,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","Low","Loamy-skeletal, mixed, semiactive, thermic, shallow Inceptic Hapludults","Ultisols","Udults","Hapludults","Inceptic Hapludults","loamy-skeletal","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175253"
